gene,n_evidence_rows,n_source_files,evidence_types,source_basenames,has_score_related,has_model_coefficient,has_model_importance,has_feature_stability,has_egfr_correlation,has_differential_expression,n_score_related,n_model_coef_evidence,n_model_importance_evidence,n_egfr_correlation_evidence,n_strong_correlation_evidence,n_significance_evidence,n_large_logfc_evidence,max_abs_coef,max_importance,max_abs_correlation,max_abs_logfc,min_p_like,max_neg_log10_p,total_weighted_evidence_score,evidence_count_score,score_related_score,model_coef_score,model_importance_score,egfr_corr_score,strong_corr_score,significance_score,logfc_evidence_score,weighted_score_scaled,final_priority_score,priority_class,broad_kidney_module_hint,wet_experiment_priority,suggested_first_validation
MYCN,13,13,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_preserved_function_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9,0,9,9,13,0,0.457754731442941,NA,11.6201197912168,NA,8.0966044486849e-6,5.09169707721753,45.324536556250386,0.8,1,0.7272727272727273,0,0.7272727272727273,0.7272727272727273,0.8125,0,0.7446846352295462,9.374230089775,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
AGR2,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.442589517842701,NA,7.85952320804232,NA,2.47654380114059e-4,3.60615398650832,31.808660060451512,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.5203421463896339,9.323372449419937,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CARD16,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.36272411009486,NA,7.84856835647388,NA,2.68117648105464e-4,3.57167459883858,29.686396182172075,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.48511587300838166,9.288146176038685,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
SLC5A11,13,13,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_preserved_function_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9,0,9,9,13,0,0.447075528725067,NA,9.9756006595635,NA,1.25825918040668e-5,4.90022989225574,40.10279255061242,0.8,1,0.7272727272727273,0,0.7272727272727273,0.7272727272727273,0.8125,0,0.6580118214705689,9.287557276016022,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
MUC3A,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.469101569797666,NA,7.27300904416083,NA,5.82208681251141e-4,3.23492132313053,29.352465100187754,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.47957313739248186,9.282603440422784,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
MIR4435-2HG,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.282142917526331,NA,7.72629233175431,NA,2.6445460685401e-4,3.5776488630793,27.32547473416833,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.44592825585567086,9.248958558885974,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
STK39,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.196204986439406,NA,7.61808093504894,NA,6.05040852231236e-5,4.21821530088535,26.652174942309657,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.4347525284740304,9.237782831504333,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
NUCB2,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.252662487647585,NA,7.98366194390546,NA,3.15843478523053e-4,3.5005280859081,26.609158589414413,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.434038524045806,9.237068827076108,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
GREB1,13,13,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_preserved_function_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9,0,9,9,13,0,0.336676057663229,NA,10.0237598356176,NA,1.93778961563459e-5,4.71269337575208,36.323445219231026,0.8,1,0.7272727272727273,0,0.7272727272727273,0.7272727272727273,0.8125,0,0.5952805449028876,9.224825999448342,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
GNG4,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.46799859541847,NA,7,NA,7.77308063988858e-4,3.10940682679124,25.821235198546017,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.42096022353177404,9.223990526562076,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CASP4,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.2165174754567,NA,7.28654836381676,NA,5.62071146019248e-4,3.25020870868724,21.977830855232195,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.35716570038226464,9.160196003412567,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CFAP300,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.266000374717987,NA,7,NA,7.28605972190586e-4,3.13750727328243,21.537482484342068,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.349856603594291,9.152886906624595,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
DNAI3,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.265884511645501,NA,7.04702705843691,NA,4.66204233879201e-4,3.33142378670986,20.475446708885773,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.3322284646292043,9.135258767659508,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
DDB2,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.171099781692461,NA,7,NA,2.65286254746581e-4,3.57628525149659,20.289171893344346,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.32913659295223624,9.13216689598254,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
B2M,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.172036940564815,NA,7,NA,4.19526629750419e-4,3.3772404668100098,19.731046512036386,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.3198725813162708,9.122902884346573,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
AEN,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.171433045508294,NA,7,NA,4.41730551174856e-4,3.35484256282489,19.07563081310463,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.3089937020094937,9.112024005039796,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CLEC1A,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.194132314590453,NA,7,NA,8.9333753142878e-4,3.0489844197893,18.977527015393953,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.3073653318368378,9.11039563486714,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
ERP27,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.244611616249775,NA,7,NA,6.8155250791717e-4,3.16650067978494,18.951098055849027,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.30692665229107535,9.109956955321378,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CLU,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.253811152631471,NA,7,NA,0.00135460096072114,2.86818862071567,18.855764055936866,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.3053442564458628,9.108374559476166,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
